Title,Price,Number of Buyers,Number of Ratings,Rating,Image Link
Straight Fit Jeans For Men || Men Jeans Pants || Denim Jeans || Baggy Jeans For Men (04-05),679,100+ bought in past month,205,3.0 out of 5 stars,https://m.media-amazon.com/images/I/71oiC9Jk-+L._AC_UL320_.jpg
Women Regular Fit Pants,999,100+ bought in past month,105,4.4 out of 5 stars,https://m.media-amazon.com/images/I/41df3JUdoRL._AC_UL320_.jpg
Men's Regular Casual Pants,799,M.R.P:,"1,327",3.4 out of 5 stars,https://m.media-amazon.com/images/I/51kzk787drL._AC_UL320_.jpg
Men Cargo || Men Cargo Pants || Men Cargo Pants Cotton || Cargos for Men (Cargo-01-04),499,700+ bought in past month,"6,908",3.6 out of 5 stars,https://m.media-amazon.com/images/I/51FICIl4KjL._AC_UL320_.jpg
Men's Trouser II Men's Regular Casual Pants II Men's Regular Fit Casual Trouser (Trousers-120),284,M.R.P:,136,4.1 out of 5 stars,https://m.media-amazon.com/images/I/61xs2GCa7hL._AC_UL320_.jpg
"Amazon Brand - Supples Premium Diapers, New Born/X-Small (NB/XS), 80 Count, 0-5 Kg, 12 hrs Absorption Baby Diaper Pants",495,1K+ bought in past month,"65,342",3.9 out of 5 stars,https://m.media-amazon.com/images/I/71oLl1xyKnL._AC_UL320_.jpg
Women & Girls' Solid Oversized Wide Leg Baggy Korean Pants Trousers,417,50+ bought in past month,240,3.4 out of 5 stars,https://m.media-amazon.com/images/I/619TdBD0CcL._AC_UL320_.jpg
Men's Slim Fit Flexi Waist Casual Pants,"1,699",M.R.P:,411,4.2 out of 5 stars,https://m.media-amazon.com/images/I/71nvyIapqYL._AC_UL320_.jpg
Women's Relaxed Fit Cargo Joggers Pant,459,50+ bought in past month,179,4.0 out of 5 stars,https://m.media-amazon.com/images/I/61wk88aG6uL._AC_UL320_.jpg
Pants for Kids Baby Pants Pyjamas Combo Pack,499,100+ bought in past month,"5,500",3.9 out of 5 stars,https://m.media-amazon.com/images/I/510LtZH8cPL._AC_UL320_.jpg
Women's Silk Blend Relaxed Fit Wide Legs Track Pant,359,M.R.P:,19,2.9 out of 5 stars,https://m.media-amazon.com/images/I/71bU055RzvL._AC_UL320_.jpg
Women The Ultimate Flare Pants with 4 Pockets: High-Waisted & Polyester,"1,199",100+ bought in past month,759,4.3 out of 5 stars,https://m.media-amazon.com/images/I/314n30gvscL._AC_UL320_.jpg
Men's Solid Drawstring Waist Flap Pocket Side Cargo Pants…,649,M.R.P:,305,3.2 out of 5 stars,https://m.media-amazon.com/images/I/61AMuu0CAUL._AC_UL320_.jpg
Women's Regular Fit Pants Dt-Tr772,289,50+ bought in past month,348,3.7 out of 5 stars,https://m.media-amazon.com/images/I/510N7hpBSDL._AC_UL320_.jpg
Men Jeans || Men Jeans Pants || Denim Jeans || Baggy Jeans for Men (Jeans-06-07-08),599,400+ bought in past month,897,3.7 out of 5 stars,https://m.media-amazon.com/images/I/81WzIbilc9L._AC_UL320_.jpg
Women's Skinny Fit Leggings,369,100+ bought in past month,"6,066",4.0 out of 5 stars,https://m.media-amazon.com/images/I/51t33kKYFVL._AC_UL320_.jpg
Men's Regular Fit Trackpants,299,50+ bought in past month,"3,235",3.5 out of 5 stars,https://m.media-amazon.com/images/I/5137SFdCROL._AC_UL320_.jpg
"Cotton Printed Track Pant for Boys and Girls - Cuffed Angle and Loose Fit Pants for Girls, Pack of 5",589,M.R.P:,"2,162",4.0 out of 5 stars,https://m.media-amazon.com/images/I/616dp2FJPkL._AC_UL320_.jpg
Women's Pants,329,50+ bought in past month,"6,252",4.0 out of 5 stars,https://m.media-amazon.com/images/I/71Jz4HSGyEL._AC_UL320_.jpg
Men Regular Fit Solid Superior Comfort with Extra Stretch Formal Trouser,"1,279",M.R.P:,29,3.5 out of 5 stars,https://m.media-amazon.com/images/I/51Zi4mFRnzL._AC_UL320_.jpg
100% Girls Cotton Printed Track Pants (Pack of 3),429,50+ bought in past month,"2,488",3.9 out of 5 stars,https://m.media-amazon.com/images/I/515QhHcihtL._AC_UL320_.jpg
Men's Casual Cotton Pants | Scoop Pocket Chinos | Trousers (Regular Fit),629,M.R.P:,"11,492",3.5 out of 5 stars,https://m.media-amazon.com/images/I/712z9RL61bL._AC_UL320_.jpg
Men's Stretchable Formal Pants | Trousers (Slim Fit),649,M.R.P:,"16,560",3.7 out of 5 stars,https://m.media-amazon.com/images/I/61JxxjR61XL._AC_UL320_.jpg
Men's Solid Regular Fit Joggers,"1,049",M.R.P:,1,5.0 out of 5 stars,https://m.media-amazon.com/images/I/51SVoqfoN0L._AC_UL320_.jpg
Women Casual Pants,399,M.R.P:,96,3.5 out of 5 stars,https://m.media-amazon.com/images/I/41agZSDNjaL._AC_UL320_.jpg
Men's Solid Cotton Textile Pajama Pant Lower,899,M.R.P:,411,3.8 out of 5 stars,https://m.media-amazon.com/images/I/61SkHiYWvdL._AC_UL320_.jpg
"Little's Baby Diapers M Size (Medium) Pants Style | 7-12 kg | 64 Count - Pack of 2 | CottonSoft Baby Diaper with Leakage Guard, Wetness Indicator & 12 Hours Absorption",524,3K+ bought in past month,"75,827",4.0 out of 5 stars,https://m.media-amazon.com/images/I/71B-+FxERYL._AC_UL320_.jpg
Cotton Pajama Pants with All Over Print for Boys and Girls (Multicolor Designs)(Regular Fit)(Pack of 5),569,100+ bought in past month,"14,506",4.0 out of 5 stars,https://m.media-amazon.com/images/I/81rtGqr3WVL._AC_UL320_.jpg
Men Regular Fit Pants,"1,189",M.R.P:,69,3.6 out of 5 stars,https://m.media-amazon.com/images/I/51yaOO9DRAL._AC_UL320_.jpg
"Men Combo Track Pant with Lycra Elastic Jogger Suitable for Active Wear, Jogger Yoga Wear, Sports (Pack of 2)",379,100+ bought in past month,896,3.8 out of 5 stars,https://m.media-amazon.com/images/I/41tC6RU26KL._AC_UL320_.jpg
McHenry Men's Solid Formal Regular Fit Wrinkle Free PolyViscose Trousers,799,M.R.P:,"8,647",3.7 out of 5 stars,https://m.media-amazon.com/images/I/71A+njopkfL._AC_UL320_.jpg
Men's Slim Fit Stretch Knit Pants - Smart Casual | Flexi Waist,"1,399",M.R.P:,104,4.3 out of 5 stars,https://m.media-amazon.com/images/I/71roJPdmbSL._AC_UL320_.jpg
Men's Lycra Blend Regular Fit Causal Trouser Pants,299,M.R.P:,42,3.3 out of 5 stars,https://m.media-amazon.com/images/I/51kfHmBjqCL._AC_UL320_.jpg
Men's Casual Cotton Pants | Scoop Pocket Chinos | Trousers (Regular Fit),629,M.R.P:,"11,492",3.5 out of 5 stars,https://m.media-amazon.com/images/I/81rHWBHIOyL._AC_UL320_.jpg
Men's Sports Regular Fit Lycra Track Pant with Two Side Pockets,399,M.R.P:,24,3.3 out of 5 stars,https://m.media-amazon.com/images/I/31vy0eUSZtL._AC_UL320_.jpg
Men's Comfortable Lounge Pants,"1,022",M.R.P:,8,3.5 out of 5 stars,https://m.media-amazon.com/images/I/61K5FFKpSnL._AC_UL320_.jpg
"Stylish Solid Polyester Blend Track Pant for Men, Pack of 2",399,M.R.P:,14,3.3 out of 5 stars,https://m.media-amazon.com/images/I/613tynckthL._AC_UL320_.jpg
Trouser for Men,349,M.R.P:,"1,363",4.1 out of 5 stars,https://m.media-amazon.com/images/I/51lBRcXa4SL._AC_UL320_.jpg
Men Regular Fit Pajama Bottom,719,M.R.P:,"3,995",3.9 out of 5 stars,https://m.media-amazon.com/images/I/51FeNKCNQwL._AC_UL320_.jpg
Women's High-Waisted Pant |Bell Bottom Trendy Retro-Chic Trousers - Perfect for Every Occasion,272,100+ bought in past month,275,4.0 out of 5 stars,https://m.media-amazon.com/images/I/41DbwYUdtXL._AC_UL320_.jpg
Kurti Pant (Free Size) Black,329,200+ bought in past month,435,4.1 out of 5 stars,https://m.media-amazon.com/images/I/61k4Xy8b8gL._AC_UL320_.jpg
